TAXON,medFtWt,medWallThick,medFtDiam,MedSeedWTmg,medSLA,StemDens,Maxht
ALA,0.23,1.1,8.3,0.89,35.57,0.83,35
ARE,0.32,2,9,1.97,40.46,0.73,27
ARO,0.08,1,5.5,0.56,58.6,0.61,28
BAX,0.33,2,9.9,2.08,38.65,0.72,26
CAM,0.1,1.2,6.5,0.33,46.38,0.53,29
GON,0.34,1.4,9.05,0.8,36.42,0.64,12
LEU,0.31,1.4,9.9,0.66,37.03,0.63,19
MEL,0.05,0.75,4.9,0.38,51.58,0.74,24
OBL,0.21,1,8.05,1.74,40.76,0.67,35
OVA,0.09,1.1,6.7,0.58,48.69,0.59,32
PAU,0.14,1.2,6.3,1.17,32.23,0.58,7
RAD,0.05,1,5,0.6,60.43,0.58,26
RUB,0.06,1.2,5.6,0.48,57.04,0.69,32
SAB,0.07,0.9,5.6,0.58,58.24,0.62,28
SER,0.85,2.3,13.8,2.18,27.4,0.91,13
VER,1.12,2.9,15.2,2.62,28.19,0.85,4
VIC,0.6,2.1,11.8,1.96,26.43,0.62,10
VIMcyg,0.08,1,6.1,0.46,53.31,0.57,18
VIMvim,0.07,1.2,6.2,0.62,49.16,0.57,45
WIL,0.07,1.2,5.15,0.64,44.79,0.72,17
